# LRAN range test trace, captured 2026-08-31 12:39:53
# note: FORMAT PROOF, NOT RANGE DATA. Both boards ~1 m apart on the build-machine desk, stock whip antennas, indoors. Every point should read 0% PER.
# schema: docs/rangetest/data/README.md
#
# board=heltec_wifi_lora_32_V3
# freq_hz=915000000
# sf=7
# bw_khz=125.0
# cr=4/5
# conducted_dbm=-9
# antenna_gain_dbi=2.0
# eirp_ceiling_dbm=-1.0
# sync_word=0x1424
# explicit_header=1
# crc=1
# preamble_symbols=8
# payload_len=16
# role=INITIATOR
# test_points=24
# probes_per_point=8
# total_probes=192
# duration_nominal_s=382
# duration_worst_s=430
#
position,tp_index,freq_hz,sf,cr_denom,conducted_dbm,antenna_gain_dbi10,payload_len,probes_sent,echoes_recv,resp_heard,per_pct100,init_rssi_mean10,init_rssi_min10,init_rssi_max10,init_snr_mean10,init_snr_min10,init_snr_max10,resp_rssi_mean10,resp_rssi_min10,resp_rssi_max10,resp_snr_mean10,resp_snr_min10,resp_snr_max10,phy_crc_err,foreign,filler_err
0,0,915000000,7,5,-9,20,16,8,8,8,0,-475,-490,-470,126,118,133,-475,-480,-470,121,120,123,0,0,0
0,1,915000000,7,5,-9,20,64,8,8,8,0,-480,-480,-480,129,123,135,-476,-480,-470,124,118,130,0,0,0
0,2,915000000,7,5,-3,20,16,8,8,8,0,-420,-420,-420,128,125,133,-430,-430,-430,128,125,130,0,0,0
0,3,915000000,7,5,-3,20,64,8,8,8,0,-420,-420,-420,130,125,133,-423,-430,-420,130,125,133,0,0,0
0,4,915000000,7,8,-9,20,16,8,8,8,0,-480,-480,-480,130,123,135,-475,-480,-470,125,120,128,0,0,0
0,5,915000000,7,8,-9,20,64,8,8,8,0,-480,-480,-480,128,118,133,-476,-490,-470,125,120,133,0,0,0
0,6,915000000,7,8,-3,20,16,8,8,8,0,-420,-420,-420,133,130,135,-424,-430,-420,130,125,133,0,0,0
0,7,915000000,7,8,-3,20,64,8,8,8,0,-420,-420,-420,128,125,133,-426,-430,-420,128,123,133,0,0,0
0,8,915000000,9,5,-9,20,16,8,8,8,0,-480,-480,-480,112,108,115,-481,-490,-480,112,110,113,0,0,0
0,9,915000000,9,5,-9,20,64,8,8,8,0,-474,-480,-470,113,110,118,-480,-480,-480,112,110,113,0,0,0
0,10,915000000,9,5,-3,20,16,8,8,8,0,-420,-420,-420,116,108,123,-420,-420,-420,109,105,113,0,0,0
0,11,915000000,9,5,-3,20,64,8,8,8,0,-420,-420,-420,110,105,113,-420,-420,-420,109,105,113,0,0,0
0,12,915000000,9,8,-9,20,16,8,8,8,0,-478,-480,-470,114,110,118,-485,-490,-480,110,108,113,0,0,0
0,13,915000000,9,8,-9,20,64,8,8,8,0,-475,-480,-470,112,110,115,-481,-490,-480,111,108,115,0,0,0
0,14,915000000,9,8,-3,20,16,8,8,8,0,-421,-430,-420,113,108,118,-420,-420,-420,109,105,118,0,0,0
0,15,915000000,9,8,-3,20,64,8,8,8,0,-419,-420,-410,114,110,118,-420,-420,-420,108,105,110,0,0,0
0,16,915000000,12,5,-9,20,16,8,8,8,0,-473,-480,-460,49,48,55,-481,-490,-480,48,48,50,0,0,0
0,17,915000000,12,5,-9,20,64,8,8,8,0,-488,-490,-480,49,45,53,-486,-490,-480,48,45,50,0,0,0
0,18,915000000,12,5,-3,20,16,8,8,8,0,-420,-430,-410,58,55,65,-423,-430,-420,53,50,60,0,0,0
0,19,915000000,12,5,-3,20,64,8,8,8,0,-426,-430,-420,56,48,65,-428,-430,-420,49,45,55,0,0,0
0,20,915000000,12,8,-9,20,16,8,8,8,0,-479,-480,-470,52,48,58,-474,-480,-470,51,45,58,0,0,0
0,21,915000000,12,8,-9,20,64,8,8,8,0,-479,-490,-470,53,45,63,-486,-490,-480,50,48,53,0,0,0
0,22,915000000,12,8,-3,20,16,8,8,8,0,-416,-420,-410,64,55,73,-424,-430,-420,57,48,65,0,0,0
0,23,915000000,12,8,-3,20,64,8,8,8,0,-423,-430,-410,54,48,63,-429,-430,-420,53,48,58,0,0,0
