# LRAN range test trace, captured 2026-09-04 14:31:43
# note: bearing 120deg to gate, both ends 1.2m AGL, gate ~70ft above bridge, 3.0dBi both ends, dry, foliage full
# schema: docs/rangetest/data/README.md
#
# board=heltec_wifi_lora_32_V3
# freq_hz=915000000
# sf=7
# bw_khz=125.0
# cr=4/5
# conducted_dbm=-9
# antenna_gain_dbi=3.0
# eirp_ceiling_dbm=-1.0
# sync_word=0x1424
# explicit_header=1
# crc=1
# preamble_symbols=8
# payload_len=16
# role=INITIATOR
# test_points=24
# probes_per_point=8
# total_probes=192
# duration_nominal_s=382
# duration_worst_s=430
#
position,tp_index,freq_hz,sf,cr_denom,conducted_dbm,antenna_gain_dbi10,payload_len,probes_sent,echoes_recv,resp_heard,per_pct100,init_rssi_mean10,init_rssi_min10,init_rssi_max10,init_snr_mean10,init_snr_min10,init_snr_max10,resp_rssi_mean10,resp_rssi_min10,resp_rssi_max10,resp_snr_mean10,resp_snr_min10,resp_snr_max10,phy_crc_err,foreign,filler_err
0,0,915000000,7,5,-9,30,16,8,0,65535,10000,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,0,0,0
0,1,915000000,7,5,-9,30,64,8,0,65535,10000,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,-32768,0,0,0
0,2,915000000,7,5,-4,30,16,8,1,1,8750,-510,-510,-510,120,120,120,-490,-490,-490,120,120,120,0,0,0
0,3,915000000,7,5,-4,30,64,8,8,8,0,-490,-510,-470,126,123,130,-488,-510,-470,125,123,130,0,0,0
0,4,915000000,7,8,-9,30,16,8,8,8,0,-539,-600,-500,128,123,135,-538,-590,-490,128,125,133,0,0,0
0,5,915000000,7,8,-9,30,64,8,8,8,0,-546,-710,-490,120,95,125,-526,-590,-480,127,120,133,0,0,0
0,6,915000000,7,8,-4,30,16,8,8,8,0,-431,-440,-420,128,123,138,-438,-440,-430,127,120,133,0,0,0
0,7,915000000,7,8,-4,30,64,8,8,8,0,-424,-440,-410,128,120,135,-419,-440,-390,124,118,133,0,0,0
0,8,915000000,9,5,-9,30,16,8,8,8,0,-479,-480,-470,114,110,118,-479,-480,-470,110,105,115,0,0,0
0,9,915000000,9,5,-9,30,64,8,8,8,0,-458,-490,-440,110,108,113,-454,-490,-430,110,105,115,0,0,0
0,10,915000000,9,5,-4,30,16,8,8,8,0,-390,-420,-360,113,108,118,-394,-430,-360,110,108,115,0,0,0
0,11,915000000,9,5,-4,30,64,8,8,8,0,-409,-420,-390,109,105,110,-404,-420,-390,111,105,115,0,0,0
