# LRAN range test trace, captured 2026-09-05 19:55:06
# schema: docs/rangetest/data/README.md
# note: PASS 2 BENCH REFERENCE, NOT RANGE DATA. Heltec V3 pair ~1 m apart on the build-machine desk, 3.0dBi, indoors. Reproduces 2026-08-31-bench.csv exactly (192/192, 0% PER) on pass 2 firmware - this is the X4/X3 no-op regression check of Pass 2 Tasks 4.0.1. THE THIRD BOARD WAS PARKED IN SURVEY (listen-only) for this run; see the engineering log for why that is load-bearing.
#
# board=heltec_wifi_lora_32_V3
# freq_hz=915000000
# sf=7
# bw_khz=125.0
# cr=4/5
# conducted_dbm=-9
# antenna_gain_dbi=3.0
# eirp_ceiling_dbm=-1.0
# sync_word=0x1424
# explicit_header=1
# crc=1
# preamble_symbols=8
# payload_len=16
# role=INITIATOR
# test_points=24
# probes_per_point=8
# total_probes=192
# duration_nominal_s=382
# duration_worst_s=430
#
position,tp_index,freq_hz,sf,cr_denom,conducted_dbm,antenna_gain_dbi10,payload_len,probes_sent,echoes_recv,resp_heard,per_pct100,init_rssi_mean10,init_rssi_min10,init_rssi_max10,init_snr_mean10,init_snr_min10,init_snr_max10,resp_rssi_mean10,resp_rssi_min10,resp_rssi_max10,resp_snr_mean10,resp_snr_min10,resp_snr_max10,phy_crc_err,foreign,filler_err
# ARMED at boot - press PRG on the responder to start position 1. No sweep runs until you do.
# sweep start, position 1
# warmup 4 probes into tp 0
1,0,915000000,7,5,-9,30,16,8,8,8,0,-494,-500,-490,123,120,125,-489,-500,-480,126,120,133,0,0,0
1,1,915000000,7,5,-9,30,64,8,8,8,0,-493,-500,-480,125,120,130,-486,-500,-480,127,123,130,0,0,0
1,2,915000000,7,5,-4,30,16,8,8,8,0,-444,-450,-440,126,123,133,-446,-450,-440,124,118,133,0,0,0
1,3,915000000,7,5,-4,30,64,8,8,8,0,-446,-450,-440,129,123,133,-445,-460,-440,123,120,128,0,0,0
# warmup 4 probes into tp 4
1,4,915000000,7,8,-9,30,16,8,8,8,0,-491,-500,-490,128,125,133,-483,-490,-480,131,128,133,0,0,0
1,5,915000000,7,8,-9,30,64,8,8,8,0,-485,-520,-470,126,120,130,-474,-500,-460,126,120,133,0,0,0
1,6,915000000,7,8,-4,30,16,8,8,8,0,-423,-430,-410,132,128,138,-415,-420,-400,127,123,133,0,0,0
1,7,915000000,7,8,-4,30,64,8,8,8,0,-424,-440,-410,129,120,138,-415,-430,-400,125,120,130,0,0,0
# warmup 4 probes into tp 8
1,8,915000000,9,5,-9,30,16,8,8,8,0,-481,-490,-470,114,108,125,-471,-480,-460,112,108,115,0,0,0
1,9,915000000,9,5,-9,30,64,8,8,8,0,-480,-490,-470,113,108,118,-475,-480,-470,114,108,118,0,0,0
1,10,915000000,9,5,-4,30,16,8,8,8,0,-428,-450,-420,113,108,118,-421,-440,-410,110,105,115,0,0,0
1,11,915000000,9,5,-4,30,64,8,8,8,0,-428,-440,-420,112,108,118,-421,-440,-410,110,108,110,0,0,0
# warmup 4 probes into tp 12
1,12,915000000,9,8,-9,30,16,8,8,8,0,-485,-490,-480,111,108,115,-481,-490,-470,110,108,115,0,0,0
1,13,915000000,9,8,-9,30,64,8,8,8,0,-489,-500,-480,110,108,113,-485,-500,-480,112,108,118,0,0,0
1,14,915000000,9,8,-4,30,16,8,8,8,0,-440,-450,-430,112,105,118,-436,-440,-430,110,108,115,0,0,0
1,15,915000000,9,8,-4,30,64,8,8,8,0,-434,-450,-430,112,108,115,-428,-440,-420,112,105,120,0,0,0
# warmup 2 probes into tp 16
1,16,915000000,12,5,-9,30,16,8,8,8,0,-493,-510,-470,54,50,58,-473,-490,-450,50,48,55,0,0,0
1,17,915000000,12,5,-9,30,64,8,8,8,0,-505,-530,-470,52,45,65,-484,-500,-470,51,45,55,0,0,0
1,18,915000000,12,5,-4,30,16,8,8,8,0,-440,-460,-430,49,45,55,-433,-470,-410,51,48,65,0,0,0
1,19,915000000,12,5,-4,30,64,8,8,8,0,-428,-450,-410,52,48,60,-429,-460,-410,53,48,65,0,0,0
# warmup 5 probes into tp 20
1,20,915000000,12,8,-9,30,16,8,8,8,0,-491,-510,-480,52,48,55,-476,-530,-450,53,48,60,0,0,0
1,21,915000000,12,8,-9,30,64,8,8,8,0,-498,-520,-480,52,45,55,-473,-510,-460,51,48,55,0,0,0
1,22,915000000,12,8,-4,30,16,8,8,8,0,-421,-430,-410,54,48,65,-410,-430,-400,56,50,63,0,0,0
1,23,915000000,12,8,-4,30,64,8,8,8,0,-421,-450,-410,53,50,60,-419,-470,-390,49,48,53,0,0,0
# sweep complete at position 1 - ARMED, press PRG on the responder for the next position
# capture ended: --run-for 480s elapsed - 24 rows
