# LRAN range test trace, captured 2026-09-05 20:03:44
# schema: docs/rangetest/data/README.md
# note: PASS 2 BENCH, NOT RANGE DATA AND NOT THE B1b DELTA. XIAO ESP32S3 + Wio-SX1262 Kit as initiator, Heltec V3 responder, ~1 m apart on the desk, 3.0dBi, indoors. 192/192, 0% PER - first over-air proof that the discrete RF switch line works. RSSI reads ~13 dB stronger than the Heltec pair run, but BENCH GEOMETRY IS UNCONTROLLED and dominates at this distance: the Heltec reference itself moved from -24 dBm to -42 dBm between two runs on board placement alone. The module contribution to link margin is B1b, on the gate bearing, and is NOT this number.
#
# board=xiao_esp32s3_wio_kit
# freq_hz=915000000
# sf=7
# bw_khz=125.0
# cr=4/5
# conducted_dbm=-9
# antenna_gain_dbi=3.0
# eirp_ceiling_dbm=-1.0
# sync_word=0x1424
# explicit_header=1
# crc=1
# preamble_symbols=8
# payload_len=16
# role=INITIATOR
# test_points=24
# probes_per_point=8
# total_probes=192
# duration_nominal_s=382
# duration_worst_s=430
#
position,tp_index,freq_hz,sf,cr_denom,conducted_dbm,antenna_gain_dbi10,payload_len,probes_sent,echoes_recv,resp_heard,per_pct100,init_rssi_mean10,init_rssi_min10,init_rssi_max10,init_snr_mean10,init_snr_min10,init_snr_max10,resp_rssi_mean10,resp_rssi_min10,resp_rssi_max10,resp_snr_mean10,resp_snr_min10,resp_snr_max10,phy_crc_err,foreign,filler_err
# ARMED at boot - press PRG on the responder to start position 1. No sweep runs until you do.
# sweep start, position 1
# warmup 4 probes into tp 0
1,0,915000000,7,5,-9,30,16,8,8,8,0,-360,-360,-360,126,118,133,-396,-400,-390,122,120,123,0,0,0
1,1,915000000,7,5,-9,30,64,8,8,8,0,-361,-370,-360,124,120,130,-393,-400,-390,124,123,125,0,0,0
1,2,915000000,7,5,-4,30,16,8,8,8,0,-303,-310,-300,124,120,128,-340,-340,-340,123,120,133,0,0,0
1,3,915000000,7,5,-4,30,64,8,8,8,0,-300,-300,-300,123,120,128,-339,-350,-330,124,120,133,0,0,0
# warmup 4 probes into tp 4
1,4,915000000,7,8,-9,30,16,8,8,8,0,-360,-360,-360,127,120,128,-394,-400,-390,125,123,128,0,0,0
1,5,915000000,7,8,-9,30,64,8,8,8,0,-359,-360,-350,123,118,125,-391,-400,-390,123,120,125,0,0,0
1,6,915000000,7,8,-4,30,16,8,8,8,0,-300,-300,-300,127,125,130,-330,-330,-330,125,123,128,0,0,0
1,7,915000000,7,8,-4,30,64,8,8,8,0,-300,-300,-300,123,115,128,-330,-330,-330,123,120,125,0,0,0
# warmup 4 probes into tp 8
1,8,915000000,9,5,-9,30,16,8,8,8,0,-358,-360,-350,112,108,118,-391,-400,-390,107,103,110,0,0,0
1,9,915000000,9,5,-9,30,64,8,8,8,0,-353,-360,-350,111,108,113,-391,-400,-390,110,108,113,0,0,0
1,10,915000000,9,5,-4,30,16,8,8,8,0,-300,-300,-300,108,105,115,-333,-340,-330,108,105,113,0,0,0
1,11,915000000,9,5,-4,30,64,8,8,8,0,-300,-300,-300,108,105,110,-333,-340,-330,109,108,113,0,0,0
# warmup 4 probes into tp 12
1,12,915000000,9,8,-9,30,16,8,8,8,0,-356,-360,-350,111,108,118,-391,-400,-390,109,105,113,0,0,0
1,13,915000000,9,8,-9,30,64,8,8,8,0,-355,-360,-350,110,105,115,-395,-400,-390,109,105,113,0,0,0
1,14,915000000,9,8,-4,30,16,8,8,8,0,-303,-310,-300,110,108,113,-334,-340,-330,109,103,115,0,0,0
1,15,915000000,9,8,-4,30,64,8,8,8,0,-300,-300,-300,108,105,110,-335,-340,-330,111,103,118,0,0,0
# warmup 2 probes into tp 16
1,16,915000000,12,5,-9,30,16,8,8,8,0,-354,-360,-350,52,50,58,-389,-390,-380,49,45,55,0,0,0
1,17,915000000,12,5,-9,30,64,8,8,8,0,-360,-370,-350,51,48,55,-395,-400,-390,52,48,60,0,0,0
1,18,915000000,12,5,-4,30,16,8,8,8,0,-300,-300,-300,50,48,50,-329,-330,-320,48,45,53,0,0,0
1,19,915000000,12,5,-4,30,64,8,8,8,0,-300,-300,-300,50,48,55,-333,-340,-330,53,48,60,0,0,0
# warmup 5 probes into tp 20
1,20,915000000,12,8,-9,30,16,8,8,8,0,-356,-360,-350,52,50,53,-384,-390,-380,52,48,58,0,0,0
1,21,915000000,12,8,-9,30,64,8,8,8,0,-359,-360,-350,51,48,58,-391,-400,-390,51,45,68,0,0,0
1,22,915000000,12,8,-4,30,16,8,8,8,0,-304,-310,-300,51,48,55,-333,-340,-330,52,48,55,0,0,0
1,23,915000000,12,8,-4,30,64,8,8,8,0,-306,-310,-300,49,43,58,-340,-350,-330,52,50,55,0,0,0
# sweep complete at position 1 - ARMED, press PRG on the responder for the next position
# capture ended: --run-for 500s elapsed - 24 rows
