# LRAN range test trace, captured 2026-09-05 15:31:50
# note: seven-site ambient survey, R11 hold discipline, ~5 min per site, 3.0dBi; site 0 bridge-house INDOORS at the bridge target location (office, NW side); other sites outdoors at node target locations
# schema: docs/rangetest/data/README.md
#
# board=heltec_wifi_lora_32_V3
# freq_hz=915000000
# sf=7
# bw_khz=125.0
# cr=4/5
# conducted_dbm=-9
# antenna_gain_dbi=3.0
# eirp_ceiling_dbm=-1.0
# sync_word=0x1424
# explicit_header=1
# crc=1
# preamble_symbols=8
# payload_len=16
# role=SURVEY
#
site_index,site_name,bin_index,freq_hz,passes,samples,peak_dbm10,mean_dbm10,floor_dbm10,dropped
# site=0 bridge-house
# passes=74
# hold_discipline=1
# bins_sampled=130 of 130
# dwell_ms=30 settle_ms=4 sample_interval_ms=3
0,bridge-house,0,902000000,74,653,-1130,-1144,-1160,0
0,bridge-house,1,902200000,74,653,-1130,-1144,-1170,0
0,bridge-house,2,902400000,74,672,-1130,-1144,-1160,0
0,bridge-house,3,902600000,74,672,-1130,-1143,-1160,0
0,bridge-house,4,902800000,74,660,-880,-1140,-1160,0
0,bridge-house,5,903000000,74,672,-1130,-1144,-1160,0
0,bridge-house,6,903200000,74,672,-1130,-1144,-1160,0
0,bridge-house,7,903400000,74,660,-1130,-1144,-1160,0
0,bridge-house,8,903600000,74,672,-1130,-1144,-1160,0
0,bridge-house,9,903800000,74,669,-1120,-1144,-1160,0
0,bridge-house,10,904000000,74,660,-1130,-1144,-1160,0
0,bridge-house,11,904200000,74,672,-1130,-1144,-1160,0
0,bridge-house,12,904400000,74,669,-1130,-1145,-1160,0
0,bridge-house,13,904600000,74,657,-1130,-1144,-1160,0
0,bridge-house,14,904800000,74,674,-1130,-1144,-1160,0
0,bridge-house,15,905000000,74,666,-1120,-1144,-1160,0
0,bridge-house,16,905200000,74,674,-1130,-1144,-1160,0
0,bridge-house,17,905400000,74,674,-1130,-1145,-1160,0
0,bridge-house,18,905600000,74,670,-1130,-1144,-1160,0
0,bridge-house,19,905800000,74,674,-1130,-1144,-1160,0
0,bridge-house,20,906000000,74,674,-1130,-1144,-1160,0
0,bridge-house,21,906200000,74,670,-1130,-1144,-1160,0
0,bridge-house,22,906400000,74,674,-1130,-1144,-1160,0
0,bridge-house,23,906600000,74,673,-1130,-1144,-1160,0
0,bridge-house,24,906800000,74,670,-1130,-1144,-1160,0
0,bridge-house,25,907000000,74,674,-1120,-1137,-1150,0
0,bridge-house,26,907200000,74,673,-1130,-1144,-1160,0
0,bridge-house,27,907400000,74,670,-1130,-1144,-1170,0
0,bridge-house,28,907600000,74,675,-1130,-1144,-1160,0
0,bridge-house,29,907800000,74,675,-890,-1144,-1160,0
0,bridge-house,30,908000000,74,675,-1130,-1144,-1160,0
0,bridge-house,31,908200000,74,675,-1130,-1144,-1160,0
0,bridge-house,32,908400000,74,675,-1130,-1144,-1160,0
0,bridge-house,33,908600000,74,671,-1100,-1144,-1160,0
0,bridge-house,34,908800000,74,666,-1130,-1144,-1160,0
0,bridge-house,35,909000000,74,666,-1130,-1144,-1160,0
0,bridge-house,36,909200000,74,666,-1130,-1143,-1160,0
0,bridge-house,37,909400000,74,666,-1130,-1139,-1160,0
0,bridge-house,38,909600000,74,666,-1130,-1143,-1150,0
0,bridge-house,39,909800000,74,666,-930,-1143,-1160,0
0,bridge-house,40,910000000,74,666,-1120,-1138,-1160,0
0,bridge-house,41,910200000,74,666,-1130,-1145,-1170,0
0,bridge-house,42,910400000,74,666,-1130,-1143,-1160,0
0,bridge-house,43,910600000,74,666,-1130,-1143,-1160,0
0,bridge-house,44,910800000,74,666,-1130,-1144,-1160,0
0,bridge-house,45,911000000,74,666,-1130,-1143,-1150,0
0,bridge-house,46,911200000,74,666,-1130,-1144,-1160,0
0,bridge-house,47,911400000,74,666,-1130,-1144,-1160,0
0,bridge-house,48,911600000,74,666,-1130,-1143,-1150,0
0,bridge-house,49,911800000,74,666,-1130,-1145,-1160,0
0,bridge-house,50,912000000,74,666,-1120,-1134,-1150,0
0,bridge-house,51,912200000,74,666,-1130,-1143,-1160,0
0,bridge-house,52,912400000,74,666,-1120,-1144,-1160,0
0,bridge-house,53,912600000,74,666,-1130,-1143,-1160,0
0,bridge-house,54,912800000,74,666,-1130,-1144,-1160,0
0,bridge-house,55,913000000,74,666,-1130,-1144,-1160,0
0,bridge-house,56,913200000,74,666,-1130,-1143,-1160,0
0,bridge-house,57,913400000,74,665,-1130,-1144,-1160,0
0,bridge-house,58,913600000,74,662,-1130,-1144,-1160,0
0,bridge-house,59,913800000,74,661,-1130,-1144,-1160,0
