# DERIVED, not captured. M20's residual re-integration.
# source: docs/rangetest/data/2026-09-05-survey-campaign-r11.csv
# regenerate: python3 tools/rangetest/survey_reintegrate.py <source> --out <this file>
# envelope A rows are single 125 kHz bins; envelope B rows are 500 kHz channels on the US915 grid.
# floor/mean are power sums over the measured bins scaled to the full channel width; peak is the max member bin.
# COVERAGE: the survey measured 125 kHz every 200 kHz, so 37.5% of the band was never looked at.
site_name,envelope,grid,centre_hz,width_hz,n_bins,measured_hz,coverage,floor_dbm,mean_dbm,peak_dbm,peak_bin_hz,min_passes
bridge-house,A,bin-125k,915200000,125000,1,125000,1.000,-116.0,-114.4,-113.0,915200000,74
bridge-house,A,bin-125k,915400000,125000,1,125000,1.000,-116.0,-114.3,-113.0,915400000,74
bridge-house,A,bin-125k,915600000,125000,1,125000,1.000,-116.0,-114.4,-113.0,915600000,74
bridge-house,A,bin-125k,915800000,125000,1,125000,1.000,-116.0,-114.3,-105.0,915800000,74
bridge-house,A,bin-125k,916000000,125000,1,125000,1.000,-116.0,-113.8,-54.0,916000000,74
bridge-house,A,bin-125k,916200000,125000,1,125000,1.000,-116.0,-114.3,-110.0,916200000,74
bridge-house,A,bin-125k,916400000,125000,1,125000,1.000,-116.0,-114.3,-112.0,916400000,74
bridge-house,A,bin-125k,916600000,125000,1,125000,1.000,-116.0,-114.3,-113.0,916600000,74
bridge-house,A,bin-125k,916800000,125000,1,125000,1.000,-116.0,-114.3,-113.0,916800000,74
bridge-house,A,bin-125k,917000000,125000,1,125000,1.000,-116.0,-114.3,-112.0,917000000,74
bridge-house,A,bin-125k,917200000,125000,1,125000,1.000,-116.0,-114.3,-112.0,917200000,74
bridge-house,A,bin-125k,917400000,125000,1,125000,1.000,-116.0,-114.4,-113.0,917400000,74
bridge-house,A,bin-125k,917600000,125000,1,125000,1.000,-116.0,-114.3,-112.0,917600000,74
bridge-house,A,bin-125k,917800000,125000,1,125000,1.000,-115.0,-114.3,-113.0,917800000,74
bridge-house,A,bin-125k,918000000,125000,1,125000,1.000,-116.0,-114.3,-113.0,918000000,74
bridge-house,A,bin-125k,918200000,125000,1,125000,1.000,-116.0,-114.3,-113.0,918200000,74
bridge-house,A,bin-125k,918400000,125000,1,125000,1.000,-116.0,-114.4,-113.0,918400000,74
bridge-house,A,bin-125k,918600000,125000,1,125000,1.000,-116.0,-114.3,-113.0,918600000,74
bridge-house,A,bin-125k,918800000,125000,1,125000,1.000,-116.0,-114.3,-113.0,918800000,74
bridge-house,A,bin-125k,919000000,125000,1,125000,1.000,-116.0,-114.4,-113.0,919000000,74
bridge-house,A,bin-125k,919200000,125000,1,125000,1.000,-116.0,-114.3,-113.0,919200000,74
bridge-house,A,bin-125k,919400000,125000,1,125000,1.000,-116.0,-114.3,-113.0,919400000,74
bridge-house,A,bin-125k,919600000,125000,1,125000,1.000,-116.0,-114.3,-113.0,919600000,74
bridge-house,A,bin-125k,919800000,125000,1,125000,1.000,-116.0,-114.2,-113.0,919800000,74
bridge-house,A,bin-125k,920000000,125000,1,125000,1.000,-116.0,-114.0,-113.0,920000000,74
bridge-house,A,bin-125k,920200000,125000,1,125000,1.000,-116.0,-114.3,-113.0,920200000,74
bridge-house,A,bin-125k,920400000,125000,1,125000,1.000,-115.0,-113.9,-88.0,920400000,74
bridge-house,A,bin-125k,920600000,125000,1,125000,1.000,-116.0,-114.3,-113.0,920600000,74
bridge-house,A,bin-125k,920800000,125000,1,125000,1.000,-115.0,-114.3,-113.0,920800000,74
bridge-house,A,bin-125k,921000000,125000,1,125000,1.000,-115.0,-114.3,-113.0,921000000,74
bridge-house,A,bin-125k,921200000,125000,1,125000,1.000,-115.0,-114.3,-112.0,921200000,74
bridge-house,A,bin-125k,921400000,125000,1,125000,1.000,-116.0,-114.2,-113.0,921400000,74
bridge-house,A,bin-125k,921600000,125000,1,125000,1.000,-116.0,-114.3,-113.0,921600000,74
bridge-house,A,bin-125k,921800000,125000,1,125000,1.000,-116.0,-114.3,-113.0,921800000,74
bridge-house,A,bin-125k,922000000,125000,1,125000,1.000,-115.0,-114.3,-113.0,922000000,74
bridge-house,A,bin-125k,922200000,125000,1,125000,1.000,-116.0,-114.3,-113.0,922200000,74
bridge-house,A,bin-125k,922400000,125000,1,125000,1.000,-115.0,-114.2,-113.0,922400000,74
bridge-house,A,bin-125k,922600000,125000,1,125000,1.000,-116.0,-114.3,-113.0,922600000,74
bridge-house,A,bin-125k,922800000,125000,1,125000,1.000,-116.0,-114.3,-113.0,922800000,74
bridge-house,A,bin-125k,923000000,125000,1,125000,1.000,-116.0,-114.2,-113.0,923000000,74
bridge-house,B,us915-500k,903000000,500000,3,375000,0.750,-110.0,-108.2,-88.0,902800000,74
bridge-house,B,us915-500k,904600000,500000,3,375000,0.750,-110.0,-108.4,-113.0,904400000,74
bridge-house,B,us915-500k,906200000,500000,3,375000,0.750,-110.0,-108.4,-113.0,906000000,74
bridge-house,B,us915-500k,907800000,500000,3,375000,0.750,-110.0,-108.4,-89.0,907800000,74
bridge-house,B,us915-500k,909400000,500000,3,375000,0.750,-109.6,-108.1,-113.0,909200000,74
bridge-house,B,us915-500k,911000000,500000,3,375000,0.750,-109.6,-108.3,-113.0,910800000,74
bridge-house,B,us915-500k,912600000,500000,3,375000,0.750,-110.0,-108.3,-112.0,912400000,74
bridge-house,B,us915-500k,914200000,500000,3,375000,0.750,-110.0,-108.3,-104.0,914200000,74
gatelink-gate,A,bin-125k,915200000,125000,1,125000,1.000,-116.0,-114.9,-113.0,915200000,70
gatelink-gate,A,bin-125k,915400000,125000,1,125000,1.000,-116.0,-114.8,-112.0,915400000,70
gatelink-gate,A,bin-125k,915600000,125000,1,125000,1.000,-116.0,-114.8,-112.0,915600000,70
gatelink-gate,A,bin-125k,915800000,125000,1,125000,1.000,-116.0,-114.4,-86.0,915800000,70
gatelink-gate,A,bin-125k,916000000,125000,1,125000,1.000,-116.0,-114.6,-89.0,916000000,70
gatelink-gate,A,bin-125k,916200000,125000,1,125000,1.000,-116.0,-114.9,-110.0,916200000,70
gatelink-gate,A,bin-125k,916400000,125000,1,125000,1.000,-116.0,-114.3,-80.0,916400000,70
gatelink-gate,A,bin-125k,916600000,125000,1,125000,1.000,-117.0,-114.9,-113.0,916600000,70
gatelink-gate,A,bin-125k,916800000,125000,1,125000,1.000,-116.0,-114.8,-108.0,916800000,70
gatelink-gate,A,bin-125k,917000000,125000,1,125000,1.000,-116.0,-114.9,-112.0,917000000,70
gatelink-gate,A,bin-125k,917200000,125000,1,125000,1.000,-116.0,-114.9,-111.0,917200000,70
gatelink-gate,A,bin-125k,917400000,125000,1,125000,1.000,-116.0,-114.9,-113.0,917400000,70
gatelink-gate,A,bin-125k,917600000,125000,1,125000,1.000,-116.0,-114.9,-112.0,917600000,70
gatelink-gate,A,bin-125k,917800000,125000,1,125000,1.000,-116.0,-114.9,-108.0,917800000,70
gatelink-gate,A,bin-125k,918000000,125000,1,125000,1.000,-116.0,-114.9,-111.0,918000000,70
gatelink-gate,A,bin-125k,918200000,125000,1,125000,1.000,-116.0,-114.9,-109.0,918200000,70
gatelink-gate,A,bin-125k,918400000,125000,1,125000,1.000,-116.0,-114.9,-111.0,918400000,70
gatelink-gate,A,bin-125k,918600000,125000,1,125000,1.000,-116.0,-114.9,-112.0,918600000,70
gatelink-gate,A,bin-125k,918800000,125000,1,125000,1.000,-116.0,-114.8,-103.0,918800000,70
gatelink-gate,A,bin-125k,919000000,125000,1,125000,1.000,-116.0,-114.8,-101.0,919000000,70
gatelink-gate,A,bin-125k,919200000,125000,1,125000,1.000,-116.0,-114.9,-107.0,919200000,70
gatelink-gate,A,bin-125k,919400000,125000,1,125000,1.000,-116.0,-114.8,-104.0,919400000,70
gatelink-gate,A,bin-125k,919600000,125000,1,125000,1.000,-117.0,-114.8,-105.0,919600000,70
gatelink-gate,A,bin-125k,919800000,125000,1,125000,1.000,-116.0,-114.8,-103.0,919800000,70
gatelink-gate,A,bin-125k,920000000,125000,1,125000,1.000,-116.0,-114.7,-108.0,920000000,70
gatelink-gate,A,bin-125k,920200000,125000,1,125000,1.000,-116.0,-114.9,-109.0,920200000,70
gatelink-gate,A,bin-125k,920400000,125000,1,125000,1.000,-116.0,-114.9,-111.0,920400000,70
gatelink-gate,A,bin-125k,920600000,125000,1,125000,1.000,-116.0,-114.9,-102.0,920600000,70
gatelink-gate,A,bin-125k,920800000,125000,1,125000,1.000,-116.0,-114.8,-94.0,920800000,70
gatelink-gate,A,bin-125k,921000000,125000,1,125000,1.000,-117.0,-114.9,-108.0,921000000,70
gatelink-gate,A,bin-125k,921200000,125000,1,125000,1.000,-117.0,-114.9,-102.0,921200000,70
gatelink-gate,A,bin-125k,921400000,125000,1,125000,1.000,-116.0,-114.9,-103.0,921400000,70
gatelink-gate,A,bin-125k,921600000,125000,1,125000,1.000,-117.0,-114.8,-101.0,921600000,70
gatelink-gate,A,bin-125k,921800000,125000,1,125000,1.000,-116.0,-114.8,-108.0,921800000,70
gatelink-gate,A,bin-125k,922000000,125000,1,125000,1.000,-116.0,-114.9,-108.0,922000000,70
gatelink-gate,A,bin-125k,922200000,125000,1,125000,1.000,-117.0,-114.9,-106.0,922200000,70
gatelink-gate,A,bin-125k,922400000,125000,1,125000,1.000,-116.0,-114.9,-105.0,922400000,70
gatelink-gate,A,bin-125k,922600000,125000,1,125000,1.000,-116.0,-114.9,-104.0,922600000,70
gatelink-gate,A,bin-125k,922800000,125000,1,125000,1.000,-116.0,-114.9,-112.0,922800000,70
gatelink-gate,A,bin-125k,923000000,125000,1,125000,1.000,-116.0,-114.9,-108.0,923000000,70
gatelink-gate,B,us915-500k,903000000,500000,3,375000,0.750,-110.3,-108.4,-79.0,903200000,70
gatelink-gate,B,us915-500k,904600000,500000,3,375000,0.750,-110.3,-108.6,-108.0,904400000,70
gatelink-gate,B,us915-500k,906200000,500000,3,375000,0.750,-110.0,-108.6,-99.0,906000000,70
gatelink-gate,B,us915-500k,907800000,500000,3,375000,0.750,-110.9,-108.7,-105.0,908000000,70
gatelink-gate,B,us915-500k,909400000,500000,3,375000,0.750,-110.0,-108.7,-110.0,909600000,70
gatelink-gate,B,us915-500k,911000000,500000,3,375000,0.750,-110.3,-108.7,-102.0,911000000,70
gatelink-gate,B,us915-500k,912600000,500000,3,375000,0.750,-110.0,-108.7,-103.0,912400000,70
gatelink-gate,B,us915-500k,914200000,500000,3,375000,0.750,-110.3,-108.6,-66.0,914000000,70
hopyard-lower,A,bin-125k,915200000,125000,1,125000,1.000,-116.0,-114.8,-113.0,915200000,71
hopyard-lower,A,bin-125k,915400000,125000,1,125000,1.000,-116.0,-114.9,-113.0,915400000,71
hopyard-lower,A,bin-125k,915600000,125000,1,125000,1.000,-116.0,-114.9,-113.0,915600000,71
hopyard-lower,A,bin-125k,915800000,125000,1,125000,1.000,-116.0,-114.6,-93.0,915800000,71
hopyard-lower,A,bin-125k,916000000,125000,1,125000,1.000,-116.0,-114.8,-95.0,916000000,71
hopyard-lower,A,bin-125k,916200000,125000,1,125000,1.000,-116.0,-114.9,-114.0,916200000,71
hopyard-lower,A,bin-125k,916400000,125000,1,125000,1.000,-116.0,-114.8,-106.0,916400000,71
hopyard-lower,A,bin-125k,916600000,125000,1,125000,1.000,-116.0,-114.9,-114.0,916600000,71
hopyard-lower,A,bin-125k,916800000,125000,1,125000,1.000,-116.0,-114.9,-114.0,916800000,71
hopyard-lower,A,bin-125k,917000000,125000,1,125000,1.000,-116.0,-114.6,-91.0,917000000,71
hopyard-lower,A,bin-125k,917200000,125000,1,125000,1.000,-116.0,-114.9,-109.0,917200000,71
hopyard-lower,A,bin-125k,917400000,125000,1,125000,1.000,-116.0,-114.9,-113.0,917400000,71
hopyard-lower,A,bin-125k,917600000,125000,1,125000,1.000,-116.0,-114.9,-114.0,917600000,71
hopyard-lower,A,bin-125k,917800000,125000,1,125000,1.000,-116.0,-114.9,-113.0,917800000,71
hopyard-lower,A,bin-125k,918000000,125000,1,125000,1.000,-117.0,-115.0,-113.0,918000000,71
hopyard-lower,A,bin-125k,918200000,125000,1,125000,1.000,-117.0,-114.9,-114.0,918200000,71
hopyard-lower,A,bin-125k,918400000,125000,1,125000,1.000,-116.0,-114.9,-113.0,918400000,71
hopyard-lower,A,bin-125k,918600000,125000,1,125000,1.000,-116.0,-114.9,-113.0,918600000,71
hopyard-lower,A,bin-125k,918800000,125000,1,125000,1.000,-116.0,-114.9,-114.0,918800000,71
hopyard-lower,A,bin-125k,919000000,125000,1,125000,1.000,-116.0,-115.0,-114.0,919000000,71
hopyard-lower,A,bin-125k,919200000,125000,1,125000,1.000,-117.0,-114.9,-113.0,919200000,71
hopyard-lower,A,bin-125k,919400000,125000,1,125000,1.000,-116.0,-114.9,-110.0,919400000,71
hopyard-lower,A,bin-125k,919600000,125000,1,125000,1.000,-116.0,-114.9,-113.0,919600000,71
hopyard-lower,A,bin-125k,919800000,125000,1,125000,1.000,-116.0,-114.9,-114.0,919800000,71
hopyard-lower,A,bin-125k,920000000,125000,1,125000,1.000,-116.0,-114.8,-111.0,920000000,71
hopyard-lower,A,bin-125k,920200000,125000,1,125000,1.000,-116.0,-114.9,-114.0,920200000,71
hopyard-lower,A,bin-125k,920400000,125000,1,125000,1.000,-116.0,-114.9,-114.0,920400000,71
hopyard-lower,A,bin-125k,920600000,125000,1,125000,1.000,-116.0,-115.0,-113.0,920600000,71
hopyard-lower,A,bin-125k,920800000,125000,1,125000,1.000,-116.0,-114.9,-112.0,920800000,71
hopyard-lower,A,bin-125k,921000000,125000,1,125000,1.000,-116.0,-115.0,-113.0,921000000,71
hopyard-lower,A,bin-125k,921200000,125000,1,125000,1.000,-116.0,-114.9,-110.0,921200000,71
hopyard-lower,A,bin-125k,921400000,125000,1,125000,1.000,-116.0,-114.9,-114.0,921400000,71
hopyard-lower,A,bin-125k,921600000,125000,1,125000,1.000,-116.0,-115.0,-113.0,921600000,71
hopyard-lower,A,bin-125k,921800000,125000,1,125000,1.000,-116.0,-115.0,-114.0,921800000,71
hopyard-lower,A,bin-125k,922000000,125000,1,125000,1.000,-116.0,-115.0,-114.0,922000000,71
hopyard-lower,A,bin-125k,922200000,125000,1,125000,1.000,-116.0,-115.0,-109.0,922200000,71
hopyard-lower,A,bin-125k,922400000,125000,1,125000,1.000,-116.0,-114.9,-114.0,922400000,71
hopyard-lower,A,bin-125k,922600000,125000,1,125000,1.000,-117.0,-114.9,-108.0,922600000,71
hopyard-lower,A,bin-125k,922800000,125000,1,125000,1.000,-116.0,-115.0,-114.0,922800000,71
hopyard-lower,A,bin-125k,923000000,125000,1,125000,1.000,-116.0,-114.9,-111.0,923000000,71
hopyard-lower,B,us915-500k,903000000,500000,3,375000,0.750,-110.0,-108.6,-95.0,903200000,71
hopyard-lower,B,us915-500k,904600000,500000,3,375000,0.750,-110.0,-108.6,-93.0,904800000,71
hopyard-lower,B,us915-500k,906200000,500000,3,375000,0.750,-110.0,-108.7,-96.0,906200000,71
hopyard-lower,B,us915-500k,907800000,500000,3,375000,0.750,-110.0,-108.7,-112.0,908000000,71
hopyard-lower,B,us915-500k,909400000,500000,3,375000,0.750,-110.0,-108.8,-114.0,909200000,71
hopyard-lower,B,us915-500k,911000000,500000,3,375000,0.750,-110.0,-108.7,-110.0,910800000,71
hopyard-lower,B,us915-500k,912600000,500000,3,375000,0.750,-110.0,-108.8,-113.0,912800000,71
hopyard-lower,B,us915-500k,914200000,500000,3,375000,0.750,-110.0,-108.9,-112.0,914000000,71
irrigation-pump,A,bin-125k,915200000,125000,1,125000,1.000,-116.0,-114.8,-113.0,915200000,71
irrigation-pump,A,bin-125k,915400000,125000,1,125000,1.000,-116.0,-114.7,-99.0,915400000,71
irrigation-pump,A,bin-125k,915600000,125000,1,125000,1.000,-116.0,-114.8,-113.0,915600000,71
irrigation-pump,A,bin-125k,915800000,125000,1,125000,1.000,-116.0,-114.7,-105.0,915800000,71
