# LRAN range test trace, captured 2026-09-07 18:22:58
# note: findings 7.6 section 7 role swap. Heltec V3 as INITIATOR, XIAO ESP32S3 + Wio-SX1262 Kit as RESPONDER - the complementary combination to 2026-09-07-eirp-sanity-xiao.csv, run to separate Wio TX from Wio RX in the 2.9dB asymmetry that run measured. 3.0dBi sticks vertical, both ends 1.45m AGL (57in to antenna tip), each node on a plastic 5gal bucket on a plastic-top table with metal legs and frame, level grass, clear LOS, laptop ~0.6m behind the antenna and ~0.6m below the tip. Operator 2m off-path at the initiator end every position. P1=3.0m P2=6.0m P3=12.0m, tape measured. Second Heltec POWERED DOWN. Same site and geometry as the two earlier runs this date.
# schema: docs/rangetest/data/README.md
#
# board=heltec_wifi_lora_32_V3
# freq_hz=915000000
# sf=7
# bw_khz=125.0
# cr=4/5
# conducted_dbm=-9
# antenna_gain_dbi=3.0
# eirp_ceiling_dbm=-1.0
# sync_word=0x1424
# explicit_header=1
# crc=1
# preamble_symbols=8
# payload_len=16
# role=INITIATOR
# test_points=24
# probes_per_point=8
# total_probes=192
# duration_nominal_s=382
# duration_worst_s=430
# pa_optimize=1
# pa_duty_cycle=2
# pa_hp_max=2
# pa_val=-5
# pa_table=RadioLib-7.7.1-paOptTable
#
position,tp_index,freq_hz,sf,cr_denom,conducted_dbm,antenna_gain_dbi10,payload_len,probes_sent,echoes_recv,resp_heard,per_pct100,init_rssi_mean10,init_rssi_min10,init_rssi_max10,init_snr_mean10,init_snr_min10,init_snr_max10,resp_rssi_mean10,resp_rssi_min10,resp_rssi_max10,resp_snr_mean10,resp_snr_min10,resp_snr_max10,phy_crc_err,foreign,filler_err
# ARMED at boot - press PRG on the responder to start position 1. No sweep runs until you do.
# sweep start, position 1
# warmup 4 probes into tp 0
1,0,915000000,7,5,-9,30,16,8,8,8,0,-529,-530,-520,123,118,125,-490,-490,-490,124,118,128,0,0,0
1,1,915000000,7,5,-9,30,64,8,8,8,0,-531,-550,-520,127,123,133,-495,-500,-490,125,120,128,0,0,0
1,2,915000000,7,5,-4,30,16,8,8,8,0,-474,-480,-470,127,118,133,-450,-460,-440,125,120,133,0,0,0
1,3,915000000,7,5,-4,30,64,8,8,8,0,-478,-490,-470,128,118,133,-449,-450,-440,124,120,128,0,0,0
# warmup 4 probes into tp 4
1,4,915000000,7,8,-9,30,16,8,8,8,0,-531,-540,-530,131,125,135,-496,-500,-490,126,123,130,0,0,0
1,5,915000000,7,8,-9,30,64,8,8,8,0,-530,-530,-530,127,125,130,-494,-500,-490,124,123,128,0,0,0
1,6,915000000,7,8,-4,30,16,8,8,8,0,-469,-470,-460,126,120,135,-450,-450,-450,133,130,135,0,0,0
1,7,915000000,7,8,-4,30,64,8,8,8,0,-478,-480,-470,129,125,133,-450,-450,-450,127,120,130,0,0,0
# warmup 4 probes into tp 8
1,8,915000000,9,5,-9,30,16,8,8,8,0,-530,-530,-530,112,108,120,-495,-500,-490,109,108,110,0,0,0
1,9,915000000,9,5,-9,30,64,8,8,8,0,-529,-530,-520,110,108,113,-495,-500,-490,110,108,113,0,0,0
1,10,915000000,9,5,-4,30,16,8,8,8,0,-476,-480,-470,114,110,118,-450,-450,-450,111,103,118,0,0,0
1,11,915000000,9,5,-4,30,64,8,8,8,0,-474,-480,-470,109,105,115,-450,-450,-450,112,110,113,0,0,0
# warmup 4 probes into tp 12
1,12,915000000,9,8,-9,30,16,8,8,8,0,-529,-530,-520,110,108,113,-494,-500,-490,110,108,113,0,0,0
1,13,915000000,9,8,-9,30,64,8,8,8,0,-526,-530,-520,111,108,115,-495,-500,-490,111,108,113,0,0,0
1,14,915000000,9,8,-4,30,16,8,8,8,0,-476,-480,-470,110,103,118,-448,-450,-440,109,108,113,0,0,0
1,15,915000000,9,8,-4,30,64,8,8,8,0,-473,-480,-470,112,108,115,-448,-450,-440,114,110,118,0,0,0
# warmup 2 probes into tp 16
1,16,915000000,12,5,-9,30,16,8,8,8,0,-539,-540,-530,52,50,55,-490,-490,-490,53,50,55,0,0,0
1,17,915000000,12,5,-9,30,64,8,8,8,0,-543,-550,-540,50,50,50,-501,-510,-500,51,48,53,0,0,0
1,18,915000000,12,5,-4,30,16,8,8,8,0,-474,-490,-460,50,48,53,-436,-440,-430,53,48,63,0,0,0
1,19,915000000,12,5,-4,30,64,8,8,8,0,-479,-490,-470,50,48,53,-448,-460,-440,53,48,60,0,0,0
# warmup 5 probes into tp 20
1,20,915000000,12,8,-9,30,16,8,8,8,0,-540,-540,-540,50,48,53,-490,-490,-490,53,48,58,0,0,0
1,21,915000000,12,8,-9,30,64,8,8,8,0,-539,-550,-530,50,45,55,-499,-500,-490,53,50,58,0,0,0
1,22,915000000,12,8,-4,30,16,8,8,8,0,-480,-490,-470,51,48,55,-439,-450,-430,54,48,60,0,0,0
1,23,915000000,12,8,-4,30,64,8,8,8,0,-483,-490,-460,49,48,53,-445,-460,-440,52,48,60,0,0,0
# sweep complete at position 1 - ARMED, press PRG on the responder for the next position
# sweep start, position 2
# warmup 4 probes into tp 0
2,0,915000000,7,5,-9,30,16,8,8,8,0,-559,-570,-550,123,120,128,-529,-540,-520,126,123,130,0,0,0
2,1,915000000,7,5,-9,30,64,8,8,8,0,-560,-570,-550,125,120,138,-530,-540,-520,123,118,128,0,0,0
2,2,915000000,7,5,-4,30,16,8,8,8,0,-498,-510,-490,122,115,128,-480,-490,-470,126,120,130,0,0,0
2,3,915000000,7,5,-4,30,64,8,8,8,0,-494,-500,-490,124,118,130,-478,-490,-470,127,120,135,0,0,0
# warmup 4 probes into tp 4
2,4,915000000,7,8,-9,30,16,8,8,8,0,-559,-560,-550,128,125,130,-529,-530,-520,127,123,130,0,0,0
2,5,915000000,7,8,-9,30,64,8,8,8,0,-560,-560,-560,125,123,130,-530,-530,-530,126,118,130,0,0,0
2,6,915000000,7,8,-4,30,16,8,8,8,0,-498,-500,-490,126,118,130,-481,-490,-480,130,120,133,0,0,0
2,7,915000000,7,8,-4,30,64,8,8,8,0,-498,-500,-490,124,120,125,-480,-480,-480,132,125,135,0,0,0
# warmup 4 probes into tp 8
2,8,915000000,9,5,-9,30,16,8,8,8,0,-558,-560,-550,110,105,113,-528,-530,-520,111,108,113,0,0,0
2,9,915000000,9,5,-9,30,64,8,8,8,0,-560,-560,-560,107,103,113,-528,-530,-520,110,108,113,0,0,0
2,10,915000000,9,5,-4,30,16,8,8,8,0,-495,-500,-490,111,108,113,-480,-480,-480,111,108,118,0,0,0
2,11,915000000,9,5,-4,30,64,8,8,8,0,-495,-500,-490,110,108,110,-478,-480,-470,112,110,118,0,0,0
# warmup 4 probes into tp 12
2,12,915000000,9,8,-9,30,16,8,8,8,0,-559,-560,-550,110,103,115,-529,-530,-520,109,108,110,0,0,0
2,13,915000000,9,8,-9,30,64,8,8,8,0,-556,-560,-550,109,103,115,-524,-530,-520,111,108,115,0,0,0
2,14,915000000,9,8,-4,30,16,8,8,8,0,-495,-500,-490,110,108,113,-475,-480,-470,110,108,113,0,0,0
2,15,915000000,9,8,-4,30,64,8,8,8,0,-496,-500,-490,109,108,113,-474,-480,-470,113,113,115,0,0,0
# warmup 2 probes into tp 16
2,16,915000000,12,5,-9,30,16,8,8,8,0,-568,-570,-550,50,48,53,-528,-530,-520,51,48,55,0,0,0
2,17,915000000,12,5,-9,30,64,8,8,8,0,-569,-570,-560,51,48,55,-529,-530,-520,48,45,50,0,0,0
2,18,915000000,12,5,-4,30,16,8,8,8,0,-504,-510,-490,51,48,55,-470,-470,-470,52,45,60,0,0,0
2,19,915000000,12,5,-4,30,64,8,8,8,0,-516,-520,-510,49,45,53,-475,-480,-470,51,48,55,0,0,0
# warmup 5 probes into tp 20
2,20,915000000,12,8,-9,30,16,8,8,8,0,-568,-580,-560,51,48,55,-530,-530,-530,53,48,63,0,0,0
2,21,915000000,12,8,-9,30,64,8,8,8,0,-573,-580,-560,51,48,53,-533,-540,-530,52,48,58,0,0,0
2,22,915000000,12,8,-4,30,16,8,8,8,0,-508,-520,-500,52,48,58,-470,-470,-470,52,48,58,0,0,0
2,23,915000000,12,8,-4,30,64,8,8,8,0,-513,-520,-500,48,45,53,-474,-480,-470,53,45,60,0,0,0
# sweep complete at position 2 - ARMED, press PRG on the responder for the next position
# sweep start, position 3
# warmup 4 probes into tp 0
3,0,915000000,7,5,-9,30,16,8,8,8,0,-706,-730,-690,124,120,130,-656,-670,-640,124,120,130,0,0,0
