# LRAN range test trace, captured 2026-09-07 17:40:17
# note: findings 7.6 section 7 Wio repeat. XIAO ESP32S3 + Wio-SX1262 Kit as INITIATOR, Heltec V3 responder, 3.0dBi sticks vertical, both ends 1.45m AGL (57in to antenna tip), each node on a plastic 5gal bucket on a plastic-top table with metal legs and frame, level grass, clear LOS, laptop ~0.6m behind the antenna and ~0.6m below the tip. Operator 2m off-path at the initiator end every position. P1=3.0m P2=6.0m P3=12.0m, tape measured. Second Heltec POWERED DOWN. Same site and geometry as 2026-09-07-eirp-sanity.csv, which is the Heltec-pair comparison.
# schema: docs/rangetest/data/README.md
#
# board=xiao_esp32s3_wio_kit
# freq_hz=915000000
# sf=7
# bw_khz=125.0
# cr=4/5
# conducted_dbm=-9
# antenna_gain_dbi=3.0
# eirp_ceiling_dbm=-1.0
# sync_word=0x1424
# explicit_header=1
# crc=1
# preamble_symbols=8
# payload_len=16
# role=INITIATOR
# test_points=24
# probes_per_point=8
# total_probes=192
# duration_nominal_s=382
# duration_worst_s=430
# pa_optimize=1
# pa_duty_cycle=2
# pa_hp_max=2
# pa_val=-5
# pa_table=RadioLib-7.7.1-paOptTable
#
position,tp_index,freq_hz,sf,cr_denom,conducted_dbm,antenna_gain_dbi10,payload_len,probes_sent,echoes_recv,resp_heard,per_pct100,init_rssi_mean10,init_rssi_min10,init_rssi_max10,init_snr_mean10,init_snr_min10,init_snr_max10,resp_rssi_mean10,resp_rssi_min10,resp_rssi_max10,resp_snr_mean10,resp_snr_min10,resp_snr_max10,phy_crc_err,foreign,filler_err
# ARMED at boot - press PRG on the responder to start position 1. No sweep runs until you do.
# sweep start, position 1
# warmup 4 probes into tp 0
1,0,915000000,7,5,-9,30,16,8,8,8,0,-488,-500,-480,125,120,128,-519,-550,-500,125,120,130,0,0,0
1,1,915000000,7,5,-9,30,64,8,8,8,0,-485,-490,-480,130,128,133,-519,-530,-510,128,123,133,0,0,0
1,2,915000000,7,5,-4,30,16,8,8,8,0,-436,-440,-430,122,118,125,-463,-470,-460,125,120,133,0,0,0
1,3,915000000,7,5,-4,30,64,8,8,8,0,-444,-450,-440,122,118,125,-470,-470,-470,127,123,133,0,0,0
# warmup 4 probes into tp 4
1,4,915000000,7,8,-9,30,16,8,8,8,0,-490,-490,-490,128,125,133,-528,-530,-520,127,125,130,0,0,0
1,5,915000000,7,8,-9,30,64,8,8,8,0,-489,-500,-480,125,118,133,-525,-530,-510,127,125,133,0,0,0
1,6,915000000,7,8,-4,30,16,8,8,8,0,-440,-440,-440,127,125,130,-468,-470,-460,125,120,130,0,0,0
1,7,915000000,7,8,-4,30,64,8,8,8,0,-441,-450,-430,124,118,133,-469,-470,-460,126,125,128,0,0,0
# warmup 4 probes into tp 8
1,8,915000000,9,5,-9,30,16,8,8,8,0,-498,-500,-490,114,105,118,-520,-520,-520,113,108,115,0,0,0
1,9,915000000,9,5,-9,30,64,8,8,8,0,-491,-500,-480,112,105,115,-520,-520,-520,112,110,115,0,0,0
1,10,915000000,9,5,-4,30,16,8,8,8,0,-433,-440,-430,113,110,120,-470,-470,-470,113,110,118,0,0,0
1,11,915000000,9,5,-4,30,64,8,8,8,0,-435,-440,-420,110,105,118,-469,-470,-460,111,105,118,0,0,0
# warmup 4 probes into tp 12
1,12,915000000,9,8,-9,30,16,8,8,8,0,-493,-500,-480,111,108,120,-521,-540,-510,112,103,118,0,0,0
1,13,915000000,9,8,-9,30,64,8,8,8,0,-490,-500,-470,110,105,113,-514,-520,-500,111,108,115,0,0,0
1,14,915000000,9,8,-4,30,16,8,8,8,0,-430,-440,-420,113,108,120,-463,-470,-450,108,103,115,0,0,0
1,15,915000000,9,8,-4,30,64,8,8,8,0,-441,-450,-430,112,108,115,-470,-470,-470,116,110,120,0,0,0
# warmup 2 probes into tp 16
1,16,915000000,12,5,-9,30,16,8,8,8,0,-490,-490,-490,50,45,55,-520,-520,-520,53,45,60,0,0,0
1,17,915000000,12,5,-9,30,64,8,8,8,0,-494,-500,-490,50,50,53,-530,-540,-520,53,48,55,0,0,0
1,18,915000000,12,5,-4,30,16,8,8,8,0,-439,-440,-430,50,45,58,-463,-470,-460,51,45,55,0,0,0
1,19,915000000,12,5,-4,30,64,8,8,8,0,-441,-450,-430,49,45,58,-471,-480,-460,53,50,58,0,0,0
# warmup 5 probes into tp 20
1,20,915000000,12,8,-9,30,16,8,8,8,0,-490,-490,-490,51,45,58,-516,-520,-510,56,48,63,0,0,0
1,21,915000000,12,8,-9,30,64,8,8,8,0,-489,-490,-480,53,48,58,-529,-540,-520,59,55,63,0,0,0
1,22,915000000,12,8,-4,30,16,8,8,8,0,-433,-440,-420,51,48,55,-459,-460,-450,55,48,63,0,0,0
1,23,915000000,12,8,-4,30,64,8,8,8,0,-440,-450,-430,52,45,60,-470,-480,-460,61,53,68,0,0,0
# sweep complete at position 1 - ARMED, press PRG on the responder for the next position
# sweep start, position 2
# warmup 4 probes into tp 0
2,0,915000000,7,5,-9,30,16,8,8,8,0,-540,-550,-530,121,115,125,-570,-580,-560,127,118,133,0,0,0
2,1,915000000,7,5,-9,30,64,8,8,8,0,-544,-550,-540,128,123,133,-570,-580,-560,125,118,128,0,0,0
2,2,915000000,7,5,-4,30,16,8,8,8,0,-484,-490,-480,124,120,128,-513,-530,-510,127,123,133,0,0,0
2,3,915000000,7,5,-4,30,64,8,8,8,0,-483,-490,-480,130,125,133,-511,-520,-510,126,125,128,0,0,0
# warmup 4 probes into tp 4
2,4,915000000,7,8,-9,30,16,8,8,8,0,-543,-550,-540,125,120,130,-571,-580,-570,129,123,135,0,0,0
2,5,915000000,7,8,-9,30,64,8,8,8,0,-543,-550,-540,124,120,128,-570,-570,-570,126,120,130,0,0,0
2,6,915000000,7,8,-4,30,16,8,8,8,0,-480,-480,-480,133,130,138,-514,-520,-510,128,125,133,0,0,0
2,7,915000000,7,8,-4,30,64,8,8,8,0,-484,-490,-480,128,120,133,-511,-520,-510,129,125,133,0,0,0
# warmup 4 probes into tp 8
2,8,915000000,9,5,-9,30,16,8,8,8,0,-545,-550,-540,111,110,113,-579,-580,-570,109,108,113,0,0,0
2,9,915000000,9,5,-9,30,64,8,8,8,0,-543,-550,-540,111,110,113,-580,-580,-580,108,105,110,0,0,0
2,10,915000000,9,5,-4,30,16,8,8,8,0,-483,-490,-480,115,110,120,-510,-510,-510,112,108,115,0,0,0
2,11,915000000,9,5,-4,30,64,8,8,8,0,-486,-490,-480,108,105,110,-513,-520,-510,113,110,115,0,0,0
# warmup 4 probes into tp 12
2,12,915000000,9,8,-9,30,16,8,8,8,0,-541,-550,-540,111,110,115,-575,-580,-570,109,108,110,0,0,0
2,13,915000000,9,8,-9,30,64,8,8,8,0,-543,-550,-540,110,110,113,-579,-580,-570,110,105,115,0,0,0
2,14,915000000,9,8,-4,30,16,8,8,8,0,-484,-490,-480,113,110,120,-509,-510,-500,112,108,118,0,0,0
2,15,915000000,9,8,-4,30,64,8,8,8,0,-484,-490,-480,111,105,115,-510,-510,-510,118,110,123,0,0,0
# warmup 2 probes into tp 16
2,16,915000000,12,5,-9,30,16,8,8,8,0,-541,-550,-540,50,48,53,-579,-580,-570,49,45,53,0,0,0
2,17,915000000,12,5,-9,30,64,8,8,8,0,-544,-550,-540,49,45,55,-581,-590,-570,49,45,55,0,0,0
2,18,915000000,12,5,-4,30,16,8,8,8,0,-480,-480,-480,50,45,53,-519,-520,-510,51,48,55,0,0,0
2,19,915000000,12,5,-4,30,64,8,8,8,0,-484,-490,-480,50,43,53,-520,-530,-510,50,45,53,0,0,0
# warmup 5 probes into tp 20
2,20,915000000,12,8,-9,30,16,8,8,8,0,-539,-540,-530,50,48,53,-571,-580,-560,53,48,60,0,0,0
2,21,915000000,12,8,-9,30,64,8,8,8,0,-543,-550,-540,51,48,55,-579,-580,-570,51,45,55,0,0,0
2,22,915000000,12,8,-4,30,16,8,8,8,0,-486,-490,-480,52,45,58,-519,-530,-510,56,50,65,0,0,0
2,23,915000000,12,8,-4,30,64,8,8,8,0,-483,-490,-480,51,45,60,-520,-530,-510,58,50,68,0,0,0
# sweep complete at position 2 - ARMED, press PRG on the responder for the next position
# sweep start, position 3
# warmup 4 probes into tp 0
3,0,915000000,7,5,-9,30,16,8,8,8,0,-646,-670,-630,125,120,128,-695,-710,-680,126,123,130,0,0,0
3,1,915000000,7,5,-9,30,64,8,8,8,0,-650,-670,-640,127,120,130,-689,-700,-680,129,123,135,0,0,0
