# LRAN range test trace, captured 2026-09-07 16:42:32
# note: findings 7.6 EIRP sanity check. Heltec pair, 3.0dBi sticks vertical, both ends 1.45m AGL (57in to antenna tip), each node on a plastic 5gal bucket on a plastic-top table with metal legs and frame - the bucket puts the antenna roughly 0.5-0.7m above the metal, which is the field card's distance rule. Level grass, clear LOS. Laptop ~0.6m behind the antenna and ~0.6m below the tip, NOT on a USB extension. Operator 2m off-path at the initiator end every position. P1=3.0m P2=6.0m P3=12.0m, tape measured. XIAO POWERED DOWN. Geometry filled in 2026-09-07 from the operator's account; the capture ran with the template placeholders unedited.
# schema: docs/rangetest/data/README.md
#
# board=heltec_wifi_lora_32_V3
# freq_hz=915000000
# sf=7
# bw_khz=125.0
# cr=4/5
# conducted_dbm=-9
# antenna_gain_dbi=3.0
# eirp_ceiling_dbm=-1.0
# sync_word=0x1424
# explicit_header=1
# crc=1
# preamble_symbols=8
# payload_len=16
# role=INITIATOR
# test_points=24
# probes_per_point=8
# total_probes=192
# duration_nominal_s=382
# duration_worst_s=430
# pa_optimize=1
# pa_duty_cycle=2
# pa_hp_max=2
# pa_val=-5
# pa_table=RadioLib-7.7.1-paOptTable
#
position,tp_index,freq_hz,sf,cr_denom,conducted_dbm,antenna_gain_dbi10,payload_len,probes_sent,echoes_recv,resp_heard,per_pct100,init_rssi_mean10,init_rssi_min10,init_rssi_max10,init_snr_mean10,init_snr_min10,init_snr_max10,resp_rssi_mean10,resp_rssi_min10,resp_rssi_max10,resp_snr_mean10,resp_snr_min10,resp_snr_max10,phy_crc_err,foreign,filler_err
# ARMED at boot - press PRG on the responder to start position 1. No sweep runs until you do.
# sweep start, position 1
# warmup 4 probes into tp 0
1,0,915000000,7,5,-9,30,16,8,8,8,0,-499,-530,-480,122,120,128,-501,-510,-490,125,120,130,0,0,0
1,1,915000000,7,5,-9,30,64,8,8,8,0,-493,-500,-480,125,118,130,-494,-500,-490,123,120,128,0,0,0
1,2,915000000,7,5,-4,30,16,8,8,8,0,-444,-450,-430,127,123,133,-450,-450,-450,125,120,130,0,0,0
1,3,915000000,7,5,-4,30,64,8,8,8,0,-440,-450,-430,128,123,133,-448,-450,-440,128,123,133,0,0,0
# warmup 4 probes into tp 4
1,4,915000000,7,8,-9,30,16,8,8,8,0,-493,-500,-490,127,120,135,-498,-500,-490,125,123,128,0,0,0
1,5,915000000,7,8,-9,30,64,8,8,8,0,-490,-490,-490,124,118,128,-499,-500,-490,123,120,128,0,0,0
1,6,915000000,7,8,-4,30,16,8,8,8,0,-445,-450,-440,130,120,135,-449,-450,-440,132,128,135,0,0,0
1,7,915000000,7,8,-4,30,64,8,8,8,0,-449,-450,-440,131,128,133,-450,-450,-450,127,120,133,0,0,0
# warmup 4 probes into tp 8
1,8,915000000,9,5,-9,30,16,8,8,8,0,-493,-500,-490,112,108,113,-498,-500,-490,111,108,113,0,0,0
1,9,915000000,9,5,-9,30,64,8,8,8,0,-494,-500,-490,110,108,113,-498,-500,-490,109,108,110,0,0,0
1,10,915000000,9,5,-4,30,16,8,8,8,0,-444,-450,-440,111,105,115,-448,-450,-440,111,108,113,0,0,0
1,11,915000000,9,5,-4,30,64,8,8,8,0,-441,-450,-440,110,103,115,-449,-450,-440,114,105,120,0,0,0
# warmup 4 probes into tp 12
1,12,915000000,9,8,-9,30,16,8,8,8,0,-491,-500,-490,114,110,118,-495,-500,-490,110,108,113,0,0,0
1,13,915000000,9,8,-9,30,64,8,8,8,0,-490,-490,-490,111,110,113,-498,-500,-490,110,108,113,0,0,0
1,14,915000000,9,8,-4,30,16,8,8,8,0,-445,-450,-440,109,105,113,-449,-450,-440,110,105,120,0,0,0
1,15,915000000,9,8,-4,30,64,8,8,8,0,-441,-450,-440,113,110,118,-446,-450,-440,115,110,123,0,0,0
# warmup 2 probes into tp 16
1,16,915000000,12,5,-9,30,16,8,8,8,0,-509,-510,-500,54,50,58,-510,-510,-510,56,53,60,0,0,0
1,17,915000000,12,5,-9,30,64,8,8,8,0,-503,-520,-490,49,48,53,-509,-520,-500,49,48,50,0,0,0
1,18,915000000,12,5,-4,30,16,8,8,8,0,-445,-450,-430,51,48,60,-445,-450,-440,51,48,60,0,0,0
1,19,915000000,12,5,-4,30,64,8,8,8,0,-441,-450,-430,56,50,60,-446,-460,-440,53,48,60,0,0,0
# warmup 5 probes into tp 20
1,20,915000000,12,8,-9,30,16,8,8,8,0,-501,-510,-490,50,45,58,-504,-510,-490,52,48,55,0,0,0
1,21,915000000,12,8,-9,30,64,8,8,8,0,-491,-510,-480,51,48,53,-504,-520,-490,52,48,55,0,0,0
1,22,915000000,12,8,-4,30,16,8,8,8,0,-444,-450,-440,54,48,68,-443,-460,-440,54,45,63,0,0,0
1,23,915000000,12,8,-4,30,64,8,8,8,0,-443,-450,-430,49,45,55,-445,-450,-430,54,48,60,0,0,0
# sweep complete at position 1 - ARMED, press PRG on the responder for the next position
# sweep start, position 2
# warmup 4 probes into tp 0
2,0,915000000,7,5,-9,30,16,8,8,8,0,-519,-540,-510,126,118,133,-530,-540,-520,129,125,133,0,0,0
2,1,915000000,7,5,-9,30,64,8,8,8,0,-529,-530,-520,123,118,125,-529,-540,-520,128,123,133,0,0,0
2,2,915000000,7,5,-4,30,16,8,8,8,0,-471,-480,-470,125,120,130,-474,-480,-470,128,123,133,0,0,0
2,3,915000000,7,5,-4,30,64,8,8,8,0,-469,-470,-460,124,118,130,-470,-470,-470,127,125,130,0,0,0
# warmup 4 probes into tp 4
2,4,915000000,7,8,-9,30,16,8,8,8,0,-520,-520,-520,125,123,128,-524,-530,-520,126,123,135,0,0,0
2,5,915000000,7,8,-9,30,64,8,8,8,0,-515,-520,-510,127,115,135,-523,-530,-520,122,115,130,0,0,0
2,6,915000000,7,8,-4,30,16,8,8,8,0,-468,-470,-460,125,123,128,-470,-470,-470,130,128,133,0,0,0
2,7,915000000,7,8,-4,30,64,8,8,8,0,-468,-480,-460,123,118,128,-469,-470,-460,126,120,133,0,0,0
# warmup 4 probes into tp 8
2,8,915000000,9,5,-9,30,16,8,8,8,0,-515,-520,-510,116,110,120,-519,-520,-510,109,103,113,0,0,0
2,9,915000000,9,5,-9,30,64,8,8,8,0,-513,-520,-510,114,110,120,-516,-520,-510,113,108,115,0,0,0
2,10,915000000,9,5,-4,30,16,8,8,8,0,-466,-470,-460,108,105,113,-465,-470,-460,111,108,115,0,0,0
2,11,915000000,9,5,-4,30,64,8,8,8,0,-460,-460,-460,110,108,113,-468,-470,-460,107,103,110,0,0,0
# warmup 4 probes into tp 12
2,12,915000000,9,8,-9,30,16,8,8,8,0,-510,-510,-510,115,113,118,-511,-520,-510,110,105,115,0,0,0
2,13,915000000,9,8,-9,30,64,8,8,8,0,-509,-510,-500,115,108,120,-511,-520,-510,114,110,120,0,0,0
2,14,915000000,9,8,-4,30,16,8,8,8,0,-460,-460,-460,109,108,110,-460,-460,-460,108,103,110,0,0,0
2,15,915000000,9,8,-4,30,64,8,8,8,0,-460,-460,-460,109,108,110,-465,-470,-460,108,105,113,0,0,0
# warmup 2 probes into tp 16
2,16,915000000,12,5,-9,30,16,8,8,8,0,-521,-550,-510,51,45,55,-525,-540,-510,51,45,53,0,0,0
2,17,915000000,12,5,-9,30,64,8,8,8,0,-533,-540,-520,52,50,53,-535,-540,-520,53,50,55,0,0,0
2,18,915000000,12,5,-4,30,16,8,8,8,0,-478,-480,-470,48,45,50,-473,-480,-450,50,48,53,0,0,0
2,19,915000000,12,5,-4,30,64,8,8,8,0,-478,-480,-470,49,48,50,-481,-490,-470,51,48,55,0,0,0
# warmup 5 probes into tp 20
2,20,915000000,12,8,-9,30,16,8,8,8,0,-520,-540,-510,53,45,60,-535,-540,-530,52,50,55,0,0,0
2,21,915000000,12,8,-9,30,64,8,8,8,0,-529,-540,-520,52,48,55,-536,-550,-530,51,50,53,0,0,0
2,22,915000000,12,8,-4,30,16,8,8,8,0,-480,-480,-480,51,48,53,-478,-480,-470,52,48,58,0,0,0
2,23,915000000,12,8,-4,30,64,8,8,8,0,-480,-480,-480,50,48,53,-478,-480,-470,51,50,53,0,0,0
# sweep complete at position 2 - ARMED, press PRG on the responder for the next position
# sweep start, position 3
# warmup 4 probes into tp 0
3,0,915000000,7,5,-9,30,16,8,8,8,0,-589,-610,-570,125,123,128,-595,-610,-580,123,118,128,0,0,0
3,1,915000000,7,5,-9,30,64,8,8,8,0,-583,-600,-570,127,120,133,-588,-600,-580,128,123,133,0,0,0
